0	19	0.8
0	30	0.788
0	39	0.711
1	6	0.728
1	12	0.801
1	33	0.836
2	9	0.702
4	8	0.856
4	9	0.797
4	15	0.755
4	16	0.721
4	21	0.734
4	26	0.792
4	28	0.731
6	12	0.711
6	36	0.739
7	12	0.788
8	9	0.821
8	15	0.715
8	16	0.788
8	21	0.754
8	26	0.744
8	28	0.702
8	31	0.801
8	42	0.721
9	15	0.705
9	21	0.864
9	25	0.798
9	26	0.783
9	27	0.71
9	28	0.755
10	28	0.755
10	40	0.791
12	28	0.795
12	33	0.733
13	15	0.727
13	20	0.747
15	30	0.706
15	42	0.788
16	42	0.703
18	36	0.73
19	30	0.812
19	39	0.817
21	26	0.862
21	28	0.711
23	40	0.766
24	40	0.771
26	28	0.713
28	40	0.707
30	39	0.826
