0	48	0.727
0	64	0.727
0	75	0.715
0	77	0.718
0	97	0.706
1	12	0.705
2	42	0.743
7	52	0.723
10	43	0.722
11	38	0.726
14	54	0.733
15	48	0.725
16	66	0.743
17	46	0.724
17	60	0.742
19	21	0.708
19	97	0.706
21	75	0.82
21	97	0.705
22	42	0.704
23	30	0.861
23	38	0.78
23	55	0.715
23	64	0.791
23	88	0.702
26	72	0.724
29	67	0.72
30	44	0.702
30	55	0.727
30	64	0.756
34	87	0.745
35	46	0.703
35	75	0.751
38	88	0.843
39	61	0.721
39	90	0.819
40	52	0.731
40	97	0.755
46	75	0.727
48	52	0.831
48	57	0.724
48	70	0.807
48	77	0.704
48	90	0.781
48	97	0.73
52	57	0.782
52	70	0.708
52	77	0.768
52	90	0.717
57	97	0.712
58	62	0.772
64	74	0.734
65	84	0.71
67	77	0.818
70	72	0.713
72	77	0.753
72	97	0.757
77	97	0.746
84	99	0.753
