0	5	0.743
0	10	0.742
0	25	0.715
0	28	0.794
0	41	0.735
2	31	0.778
2	56	0.73
2	77	0.716
2	78	0.734
2	96	0.779
2	101	0.751
4	10	0.796
4	25	0.768
5	25	0.809
5	41	0.704
5	78	0.767
5	96	0.735
5	108	0.719
6	31	0.769
6	67	0.702
6	72	0.701
10	25	0.778
11	83	0.712
12	30	0.702
12	55	0.767
12	92	0.707
12	106	0.758
14	92	0.724
14	98	0.74
14	100	0.819
15	30	0.721
15	58	0.751
15	92	0.74
16	23	0.719
16	73	0.763
16	92	0.72
18	28	0.723
18	76	0.714
19	23	0.757
19	105	0.703
19	110	0.729
24	28	0.805
24	41	0.704
24	70	0.862
24	94	0.899
25	53	0.711
25	72	0.737
25	78	0.703
27	66	0.76
28	41	0.751
28	65	0.771
28	70	0.715
28	76	0.81
28	94	0.718
30	59	0.777
30	106	0.751
30	108	0.719
31	34	0.807
31	53	0.75
31	72	0.745
31	78	0.716
31	82	0.723
31	96	0.74
31	101	0.799
34	101	0.765
36	63	0.735
36	79	0.711
37	100	0.735
40	43	0.709
41	76	0.779
42	99	0.726
47	61	0.728
47	63	0.746
51	74	0.736
51	97	0.796
51	105	0.779
52	83	0.717
53	72	0.798
53	78	0.8
53	82	0.731
53	96	0.827
53	101	0.863
54	109	0.726
55	64	0.706
55	106	0.801
56	77	0.706
59	77	0.736
59	78	0.775
59	96	0.73
59	108	0.743
62	77	0.746
62	100	0.758
64	65	0.765
70	94	0.899
71	109	0.75
72	78	0.821
72	82	0.735
72	96	0.845
72	101	0.779
73	92	0.737
74	97	0.714
74	99	0.813
74	105	0.711
74	110	0.714
77	78	0.714
78	96	0.939
78	101	0.763
96	101	0.786
97	105	0.82
98	104	0.729
99	105	0.716
105	110	0.725
