2	20	0.734
2	21	0.754
2	48	0.703
2	53	0.706
3	9	0.713
3	26	0.732
4	10	0.775
4	20	0.775
4	39	0.833
4	50	0.71
4	66	0.777
4	68	0.771
6	67	0.708
7	9	0.774
7	13	0.763
7	14	0.758
7	50	0.736
9	11	0.754
9	13	0.793
9	14	0.733
9	26	0.782
9	45	0.701
11	13	0.762
11	50	0.8
11	51	0.722
11	65	0.722
12	58	0.73
13	14	0.722
13	45	0.705
13	50	0.752
16	65	0.739
20	39	0.812
20	48	0.707
20	53	0.707
20	66	0.809
20	68	0.761
21	53	0.719
21	65	0.707
22	73	0.742
24	44	0.765
24	51	0.766
29	67	0.707
39	66	0.731
39	68	0.809
41	48	0.801
42	50	0.759
44	51	0.736
46	65	0.746
50	65	0.715
50	69	0.741
50	70	0.709
50	74	0.763
51	65	0.746
51	67	0.701
56	64	0.774
66	68	0.718
67	72	0.708
67	73	0.713
