0	17	0.732
0	22	0.738
0	28	0.726
0	35	0.758
0	36	0.803
0	51	0.709
3	6	0.737
3	10	0.782
3	22	0.751
3	26	0.809
3	55	0.742
3	56	0.713
3	59	0.721
5	31	0.793
6	11	0.733
6	22	0.727
6	33	0.709
6	44	0.735
6	55	0.754
6	56	0.756
6	60	0.77
10	15	0.738
10	26	0.865
10	35	0.706
10	59	0.735
11	17	0.713
11	22	0.725
11	36	0.711
11	44	0.744
15	35	0.787
17	35	0.734
17	43	0.711
22	27	0.707
22	28	0.709
22	35	0.741
22	36	0.736
22	55	0.707
22	56	0.735
22	60	0.718
23	57	0.771
26	55	0.704
26	59	0.737
27	31	0.766
27	35	0.808
27	59	0.728
27	60	0.717
28	36	0.783
30	53	0.735
32	59	0.723
36	51	0.751
43	66	0.713
45	54	0.828
47	57	0.72
53	64	0.77
55	56	0.753
